Digital Booklet - My Beautiful Dark Twisted Fantasy,Kanye West,Hip Hop/Rap,0,2008
It's Love,Jill Scott,R&B/Soul,14,1900
I'm So Lonesome I Could Cry,Hank Williams,Country,3,1949
On the Radio,Donna Summer,R&B/Soul,37,1951
Let's Get It On,Marvin Gaye,R&B/Soul,11,1951
Jailhouse Rock,Elvis Presley,Rock,2,1957
La Bamba,Ritchie Valens,Rock,3,1958
Can't Help Falling In Love,Elvis Presley,Rock,0,1961
I Only Want to Be With You,Dusty Springfield,R&B/Soul,29,1963
The Girl From Ipanema (feat. Antônio Carlos Jobim),Stan Getz & João Gilberto,Jazz,4,1963
I Get Around,The Beach Boys,Rock,30,1964
It's Not Unusual,Tom Jones,Pop,9,1965
Wouldn't It Be Nice,The Beach Boys,Rock,27,1966
Virtual Insanity (Remastered),Jamiroquai,Pop,17,1966
Brown Eyed Girl,Van Morrison,Rock,3,1967
Give It Up,KC and the Sunshine Band,Pop,37,1968
Golden Slumbers,The Beatles,Rock,8,1969
I Want You Back,Jackson 5,Pop,45,1969
You Are My Sunshine,Johnny Cash,Country,1,1969
Move On Up (Single Edit),Curtis Mayfield,Jazz,8,1970
Layla,Derek & The Dominos,Rock,14,1970
Your Song,Elton John,Pop,21,1970
The Love You Save,Jackson 5,R&B/Soul,28,1970
Beware of the Boys (Mundian to Bach Ke) [feat. JAY-Z],Panjabi MC,Dance,15,1970
A Horse With No Name,America,Rock,10,1971
American Pie (Full Length Version),Don Mclean,Rock,1,1971
Can't Let Go (Live),"Earth, Wind & Fire",R&B/Soul,6,1971
Tiny Dancer,Elton John,Pop,22,1971
Imagine,John Lennon,Pop,2,1971
Stairway to Heaven,Led Zeppelin,Rock,12,1971
Mercy Mercy Me (The Ecology),Marvin Gaye,R&B/Soul,1,1971
Rocket Man (I Think It's Going to Be a Long Long Time),Elton John,Pop,4,1972
Burning Love,Elvis Presley,Rock,2,1972
Summer Breeze,Seals & Crofts,Pop,20,1972
Crocodile Rock,Elton John,Pop,23,1973
Funeral for a Friend / Love Lies Bleeding,Elton John,Rock,16,1973
Bennie and the Jets (2014 Remaster),Elton John,Rock,6,1973
Goodbye Yellow Brick Road (2014 Remaster),Elton John,Rock,50,1973
Jamaica Jerk-Off,Elton John,Rock,19,1973
Funeral for a Friend / Love Lies Bleeding,Elton John,Rock,33,1973
Endless Love (Endless Love Soundtrack Version),Lionel Richie & Diana Ross,R&B/Soul,2,1973
Free Bird,Lynyrd Skynyrd,Rock,9,1973
Jump (For My Love),The Pointer Sisters,Pop,16,1973
Angie,The Rolling Stones,Rock,1,1973
The Joker,Steve Miller Band,Rock,5,1973
"Can't Get Enough of Your Love, Babe",Barry White,R&B/Soul,4,1974
Don't Let the Sun Go Down On Me,Elton John,Pop,19,1974
Our Lips Are Sealed,The Go-Go's,Pop,5,1974
Cat's In the Cradle,Harry Chapin,Pop,3,1974
Bohemian Rhapsody,Queen,Rock,4,1974
Don't Stop Me Now,Queen,Rock,2,1974
Sweet Emotion,Aerosmith,Rock,6,1975
Total Eclipse of the Heart,Bonnie Tyler,Adult Contemporary,24,1975
Philadelphia Freedom,Elton John,Pop,20,1975
(Gotta Get A) Meal Ticket (Remastered 2016),Elton John,Pop,32,1975
Slow Ride (Single Version),Foghat,Rock,7,1975
You Sexy Thing,Hot Chocolate,Pop,10,1975
